nome_especie
crypturellus_tataupa
dendrocygna_viduata
penelope_jacucaca
leptotila_verreauxi
claravis_pretiosa
columbina_talpacoti
columbina_picui
crotophaga_ani
piaya_cayana
coccyzus_melacoryphus
coccyzus_euleri
streptoprocne_biscutata
phaethornis_ruber
polytmus_guainumbi
chrysolampis_mosquitus
heliomaster_squamosus
calliphlox_amethystina
chlorostilbon_lucidus
thalurania_furcata
chrysuronia_versicolor
chionomesa_fimbriata
neocrex_erythrops
egretta_thula
chondrohierax_uncinatus
rostrhamus_sociabilis
accipiter_bicolor
geranospiza_caerulescens
ruprornis_magnirostris
geranoaetus_melanoleucus
buteo_brachyurus
buteo_albonotatus
megascops_choliba
glaucidium_brasilianum
aegolius_harrisii
trogon_curucui
picumnus_limae
veniliornis_passerinus
celeus_ochraceus
piculus_chrysochloros
herpetotheres_cachinnans
micrastur_ruficollis
caracara_plancus
brotogeris_chiriri
forpus_xanthopterygius
pyrrhura_griseipectus
formicivora_grisea
formicivora_melanogaster
sakesphoroides_cristatus
herpsilochmus_atricapillus
thamnophilus_capistratus
thamnophilus_pelzelni
taraba_major
radinopsyche_sellowi
cranioleuca_semicinerea
synallaxis_scutata
hylophilus_amaurocephalus
vireo_chivi
cyanocorax_cyanopogon
troglodytes_musculus
cantorchilus_longirostris
turdus_leucomelas
turdus_rufiventris
euphonia_chlorotica
arremon_taciturnus
cacicus_solitarius
icterus_pyrrhopterus
icterus_jamacaii
chrysomus_ruficapillus
setophaga_pitiayumi
myiothlypis_flaveola
basileuterus_culicivorus
piranga_flava
nemosia_pileata
dacnis_cayana
volatinia_jacarina
coryphospingus_pileatus
tachyphonus_rufus
sporophila_albogularis
thlypopsis_sordida
conirostrum_speciosum
schistochlamys_melanopis
thraupis_sayaca
stilpnia_cayana
himantopus_mexicanus
jacana_jacana
sarcoramphus_papa
coragyps_atratus
sittasomus_griseicapillus
dendroplex_picus
tolmomyias_flaviventris
hemitriccus_margaritaceiventer
estrilida_astrild
hirundinea_ferruginea
myiopagis_viridicata
phaeomyias_murina
phyllomyias_fasciatus
myiarchus_swainsoni
myiarchus_ferox
myiarchus_tyrannulus
casiornis_fuscus
myiodynastes_maculatus
myiozetetes_similis
tyrannus_melancholicus
empidonomus_varius
knipolegus_nigerrimus
columbina_minuta
columbina_squammata
passer_domesticus
cathartes_aura
cathartes_burrovianus
geranoaetus_albicaudatus
buteogallus_meridionalis
todirostrum_cinereum
camptostoma_obsoletum
nesotriccus_murinus
elaenia_spectabilis
myiophobus_fasciatus
pitangus_sulphuratus
megarynchus_pitangua
guira_guira
tachornis_squamata
progne_chalybea
crypturellus_parvirostris
anopetia_gounellei
vanellus_chilensis
tigrisoma_lineatum
nystalus_maculatus
eupsittula_cactorum
thamnophilus_doliatus
thamnophilus_caerulescens
cyclarhis_gujanensis
lepidocolaptes_angustirostris
synallaxis_frontalis
polioptila_plumbea
turdus_amaurochalinus
molothrus_rufoaxillaris
molothrus_bonariensis
paroaria_dominicana
coereba_flaveola
ardea_alba
